experiment_id,measurement_type,x,value,sample_std
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,8499.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,8749.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,8999.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,9249.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,9499.0,0.2625,0.066746746775616
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,9749.0,0.26,0.0632455532033675
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,COVERED_BINS,9999.0,0.26,0.0632455532033675
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,1.0,0.0264217567463344,0.0015607450996821
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,249.0,0.0261094416159779,0.0015493720596275
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,499.0,0.0247915256571653,0.0022754282334021
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,749.0,0.02272703049582,0.0023755542666281
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,999.0,0.0202081521026677,0.0030792963697989
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,1249.0,0.0177435072490492,0.0037274064486717
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,1499.0,0.0150382617176691,0.0039318015027659
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,1749.0,0.0126114072677391,0.0042224238462026
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,1999.0,0.0105708240156911,0.004246364568699
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,2249.0,0.0075499252410027,0.0034696533999186
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,2499.0,0.0060926223919716,0.0034313241940053
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,2749.0,0.0045012044817479,0.0027458326742749
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,2999.0,0.0035906339370203,0.0027725666715507
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,3249.0,0.0025700824946546,0.0019845246487193
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,3499.0,0.0019616307618112,0.0017995351409066
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,3749.0,0.0014424435027364,0.0014515202789394
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,3999.0,0.0012428657014969,0.0014320793734912
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,4249.0,0.0009692930493992,0.0011888175967452
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,4499.0,0.0008294686439521,0.0012512917273371
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,4749.0,0.000678743135775,0.0010578483857127
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,4999.0,0.0005561250211889,0.000798746041621
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,5249.0,0.0004832877343074,0.0007225005787045
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,5499.0,0.0004044433588988,0.0005755208590272
648a583d-b5c5-4d0c-8dfb-f0f8ce263bcc,BINS_VARIANCE,5749.0,0.0003431030671341,0.0005109450985553
